Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       55     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator-(long) const
  0.00      0.00     0.00       55     0.00     0.00  Edge& std::vector<Edge, std::allocator<Edge> >::emplace_back<Edge>(Edge&&)
  0.00      0.00     0.00       55     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::back()
  0.00      0.00     0.00       55     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::push_back(Edge&&)
  0.00      0.00     0.00       55     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00      0.00     0.00       54     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_eq() const
  0.00      0.00     0.00       53     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_key_equals(int const&, std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&) const
  0.00      0.00     0.00       53     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node_value<std::pair<int const, int>, false> const&) const
  0.00      0.00     0.00       53     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      0.00     0.00       47     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<int> >::__small_size_threshold()
  0.00      0.00     0.00       46     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::pair<int, int> > >::_M_ptr() const
  0.00      0.00     0.00       46     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, std::pair<int, int> > >::_M_addr() const
  0.00      0.00     0.00       46     0.00     0.00  std::__detail::_Select1st::__1st_type<std::pair<int const, std::pair<int, int> > const&>::type&& std::__detail::_Select1st::operator()<std::pair<int const, std::pair<int, int> > const&>(std::pair<int const, std::pair<int, int> > const&) const
  0.00      0.00     0.00       46     0.00     0.00  std::pair<int const, std::pair<int, int> > const& std::forward<std::pair<int const, std::pair<int, int> > const&>(std::remove_reference<std::pair<int const, std::pair<int, int> > const&>::type&)
  0.00      0.00     0.00       45     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::difference_type __gnu_cxx::operator-<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  0.00      0.00     0.00       45     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::pair<int, int> >, false, false>::operator->() const
  0.00      0.00     0.00       45     0.00     0.00  std::__detail::_Node_iterator<std::pair<int const, std::pair<int, int> >, false, false>::_Node_iterator(std::__detail::_Hash_node<std::pair<int const, std::pair<int, int> >, false>*)
  0.00      0.00     0.00       45     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, std::pair<int, int> >, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, std::pair<int, int> >, false>*)
  0.00      0.00     0.00       45     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.00     0.00       44     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::_M_check_len(unsigned long, char const*) const
  0.00      0.00     0.00       44     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_allocate(unsigned long)
  0.00      0.00     0.00       44     0.00     0.00  std::__new_allocator<Edge>::deallocate(Edge*, unsigned long)
  0.00      0.00     0.00       44     0.00     0.00  std::__new_allocator<Edge>::allocate(unsigned long, void const*)
  0.00      0.00     0.00       44     0.00     0.00  void std::vector<Edge, std::allocator<Edge> >::_M_realloc_insert<Edge>(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, Edge&&)
  0.00      0.00     0.00       43     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, std::pair<int, int> >, false>::_M_next() const
  0.00      0.00     0.00       42     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       40     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.00     0.00       40     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >*, std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.00      0.00     0.00       40     0.00     0.00  std::pair<int const, int>::pair<int const&, 0ul>(std::tuple<int const&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>)
  0.00      0.00     0.00       40     0.00     0.00  std::pair<int const, int>::pair<int const&>(std::piecewise_construct_t, std::tuple<int const&>, std::tuple<>)
  0.00      0.00     0.00       40     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, int>, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >::_M_allocate_node<std::piecewise_construct_t const&, std::tuple<int const&>, std::tuple<> >(std::piecewise_construct_t const&, std::tuple<int const&>&&, std::tuple<>&&)
  0.00      0.00     0.00       34     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.00     0.00       33     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::__small_size_threshold()
  0.00      0.00     0.00       32     0.00     0.00  __gnu_cxx::__normal_iterator<Vertex const*, std::vector<Vertex, std::allocator<Vertex> > >::base() const
  0.00      0.00     0.00       32     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(unsigned long) const
  0.00      0.00     0.00       32     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::size() const
  0.00      0.00     0.00       32     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, std::pair<int, int> >, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      0.00     0.00       30     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       30     0.00     0.00  std::_Hashtable<int, std::pair<int const, std::pair<int, int> >, std::allocator<std::pair<int const, std::pair<int, int> > >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, int const&, unsigned long) const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::end() const
  0.00      0.00     0.00       30     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::begin() const
  0.00      0.00     0.00       30     0.00     0.00  std::_Hashtable<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<std::piecewise_construct_t const&, std::tuple<int&&>, std::tuple<> >(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, int>, false> > >*, std::piecewise_construct_t const&, std::tuple<int&&>&&, std::tuple<>&&)
